Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Supply Chain Data Analyst,$80K - $95K (Employer est.),"COMPANY OVERVIEW
For nearly 100 years, DuBois has delivered improved product quality and lower costs to customers in target industries. We combine advanced chemistry, equipment solutions, manufacturing process knowledge, and local technical service to create unsurpassed value.
We serve various industries including aerospace, automotive, heavy equipment, metal finishing and many more!
JOB SUMMARY
The Supply Chain Analyst will conduct data analysis to improve our supply chain operations - including sources of raw materials, manufacturing plants, distribution centers and customer orders, as well as the transportation and communications links between them. The main goal of the job is to help DuBois Chemicals increase efficiency and reduce costs, while exceeding customer expectations. In this role, the analyst should have an analytical mind and a strong business acumen. Problem-solving skills and attention to detail are essential.",2.9,"DuBois Chemicals
2.9","Cincinnati, OH",501 to 1000 Employees,1920,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Analyst,$80K - $95K (Employer est.),"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1
Enterprise Data - Business Intelligence Analyst,$80K - $95K (Employer est.),"Each of our clients is unique. They have their own workflows and very specific data needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling means our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply cannot operate. Making the right decisions for our customers and services with such varying and complex consumption is a challenge. Extracting intelligence from our datasets is key to our success and that is where you come in.



The Business Intelligence team drives new business and organic growth in the Enterprise Data department through providing actionable insights to key decision makers. Whether we are working on the design of products and commercial strategies or uncovering sales opportunities through data analysis, technology, collaboration and understanding of our customers is at the heart of everything we do.

We work closely with both regional and global teams across stakeholder groups such as Sales, CFO Office, Global & Regional Department Heads, Business and Product Development, Global Data, Operational Support and other verticals across the firm. In order to achieve our goals and deliver results we extensively leverage technology for data warehousing, analysis and visualization (Qliksense, IBM Cognos, Tableau, Excel PowerPivot, VBA, SQL, Python, R).







Apply if you think you are a good match and we will get in touch with you to let you know next steps.",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst - Advance Analytics,$80K - $95K (Employer est.),"Job Title: Data Analyst - Advance Analytics
Location: Fremont, CA
Duration: 1 Year

Summary:
The Advanced Analytics team applies quantitative and algorithmic techniques across a broad spectrum of problem sets which inform planning and operations for Facebook's global offices and facilities. Our team works within a larger Analytics & Technology-focused group to deliver innovative insights and solutions for our partners. The ideal candidate has an analytic mindset; has expertise in analytical methods and data storytelling; applies a pragmatic approach to addressing business problems; and enjoys collaborating within a dynamic, global team.

Responsibilities







IND123",4.5,"Ursus
4.5","Fremont, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Doximity is transforming the healthcare industry. Our mission is to help doctors be more productive, informed, and connected. As a Data Analyst, you'll work within cross-functional delivery teams alongside other analysts, engineers, and product managers in discovering data insights to help improve healthcare.
Our team brings a diverse set of technical and cultural backgrounds and we like to think pragmatically in choosing the tools most appropriate for the job at hand.
This role can be filled in our San Francisco headquarters OR remotely in the U.S.
About Us
Here are some of the ways we bring value to doctors
Here is an introduction to our tech stack",4.8,"Doximity
4.8",New York State,201 to 500 Employees,2010,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Tetra Tech is a leading provider of consulting, engineering, and technical services worldwide. Our reputation rests on the technical expertise and dedication of our employees—16,000 people working together across disciplines and time zones to provide smart, sustainable solutions for challenging projects. We are proud to be home to leading technical experts in water, environment, infrastructure, resource management, energy, and international development. Tetra Tech combines the resources of a global, multibillion dollar company with local, client-focused delivery in 400 locations around the world. We offer competitive compensation and benefits and are searching for innovative people to join our teams.
Tetra Tech’s Disaster Recovery Unit is looking for a Data Analyst. This is a non-traveling role, but may develop into a traveling position following mastery of the material.
Responsibilities will include data entry and reconciliation, payroll verification, report development and file organization.",3.6,"Tetra Tech Inc.
3.6","Laplace, LA",10000+ Employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"About Driven Brands
Driven Brands (NASDAQ: DRVN), headquartered in Charlotte, NC, is the parent company of some of North America’s leading automotive aftermarket brands including Take 5 Oil Change, Meineke Car Care Centers, Automotive Training Institute, Maaco, CARSTAR, ABRA, Uniban, Car Wash US, FIX Automotive, 1-800-Radiator & A/C and PH Vitres d’Autos. Driven Brands has more than 4,300 centers across 15 countries, and combined, all businesses generate approximately $3.4 billion in system-wide sales and service over 50 million vehicles annually.
Driven Brands is the quintessential growth company, more than tripling its revenues, brands, employees, and profits over the past six years. The primary focuses of the company are growing its franchisee’s profitability, all brands’ unit count and creating opportunities for its employees, franchisees, and investors. Our culture of meritocracy inspires high performance and innovation among our employees. We enable our employees and franchisees to go further, faster— generating growth for our franchisees' businesses and our employees' careers. For more information, visit drivenbrands.com.",-1,Driven Brands / 1-800 Radiator & A/C,"Benicia, CA",-1,-1,-1,-1,-1,-1
Data Analyst,$80K - $95K (Employer est.),"CarSaver, a fast-growing automotive technology and marketing company, is looking for a talented Data Analyst to help revolutionize the way the world buys cars.
CarSaver is actively working with multiple Fortune 100 companies to give consumers a fun, fast and easy way to buy, finance and insure their next car. If you have a proven track record and enjoy working in a fast-paced environment that celebrates creativity and demonstrated excellence, CarSaver invites you to apply for this position.
JOB DESCRIPTION:
As the Data Analyst, you will play a VITAL role in the success of our organization. As a key team member, you will be expected to be ORGANIZED, to have a POSITIVE attitude, and to consistently keep our organization flowing smoothly. Those with a mastery of these skills must apply!",3.6,"CarSaver
3.6",Remote,51 to 200 Employees,2013,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Data Mining Analyst (ETL)
About us
LDSS is a Woman-Owned Small Business headquartered in Dayton, Ohio. We have built a strong reputation with our customers as a premier provider of highly-qualified and capable professionals delivering Leading and Dynamic Services and Solutions!
LDSS is looking for a data analyst for one of our long time DoD clients. The data team is mining data from legacy logistics systems and migrating that data to an Air Force platform/Cloud. As they mine the data, they are performing analysis and cleansing as part of the migration process. They are following an extract, transform and load (ETL) process and using structured query language for this effort. The government program is conducting a proof of concept for this work using Appian, a low-code application development capability to perform the same ETL function. There is a large number of legacy systems and a lot of data that needs to eventually be migrated to the AF platform and using Appian will improve this process.",-1,LDSS,"Wright Patterson AFB, OH",-1,-1,-1,-1,-1,-1
Data Analyst,$80K - $95K (Employer est.),"CITY OF NEW YORK
DEPARTMENT OF CORRECTION
JOB POSTING NOTICE
Civil Service Title: City Research Scientist Level: II
Title Code No: 21744
Salary: $75,504 - $86,830
Frequency: Annual
Business Title: Data Analyst
75-20 Astoria Blvd
East Elmhurst, NY 11370",2.6,"New York City Department of Correction
2.6","Queens Village, NY",Unknown,-1,Government,-1,-1,Unknown / Non-Applicable
Data Reporting Analyst,$80K - $95K (Employer est.),"Our Company
Come join an expanding, team-oriented rheumatology practice. Since 1998, the rheumatologists at Colorado Center for Arthritis and Osteoporosis have relieved the suffering and improved the quality of life of patients suffering from rheumatic conditions. We combine the latest advances in medical knowledge with a compassionate, collaborative, patient-centered approach.
Our Values
Our patients’ needs will be first
We will serve the needs of our referring physicians
We will treat all team members with respect",-1,Colorado Center for Arthritis and Osteoporosis,"Longmont, CO",1 to 50 Employees,-1,Private Practice / Firm,-1,-1,$1 to $5 million (USD)
Data Analyst,$80K - $95K (Employer est.),"Works with business partners from various functional areas to build, implement and maintain reporting solutions and performance metrics that support the business needs of operations and corporate teams. Supports enterprise adoption of common, consistent measurements and reporting tools to encourage data-driven decisions.

Responsibilities:
Designs and builds enterprise-wide reporting and data analysis tools with general input and oversight from business users. Ensures reporting is in a useable format to determine trends, issues, or problem areas requiring root cause analysis.
Works with project teams and functional leaders to determine business reporting needs and requirements, develop and maintain appropriate documentation, and conduct data analysis projects to identify opportunities for continuous improvement.
Utilizes reporting tools and software such as Power BI, Excel, SSRS, and various data sources to develop reports that are easily understood by end-users. Provides training and coaching on these tools as necessary.

#RuanCorp",3.4,"Ruan
3.4","Des Moines, IA",1001 to 5000 Employees,1932,Company - Private,Trucking,Transportation & Logistics,$500 million to $1 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"Why have a job when you can build a career? We are proud to be defined by the excellent service and convenience offered to our members. There are many reasons to work for MIDFLORIDA, which is probably why we were voted one of Florida Trend's ""Best Places to Work."" MIDFLORIDA offers a positive team culture, an open door management style, stability, competitive benefits, and a career path with a growing, successful company! Join us on our mission to improve the financial well-being of our members!
MIDFLORIDA Credit Union is looking for a data-driven problem solver that can discover, manipulate, and extract information from multiple MSSQL and Oracle data sources. The Data Analyst is responsible for delivering high quality, complex, and timely reports to all business units across the organization to support a wide range of initiatives, including performance improvement activities, compliance, regulatory reporting, and organizational strategies.
As a Data Analyst, you will work with business owners and subject matter experts on data requirements and validation, building queries to extract data with Oracle SQL Developer and Microsoft SQL Server Management Studio, and creating and testing reports using Business Objects Web Intelligence. The Data Analyst will enable management to make sound business decisions informed by accurate and reliable information.",3.7,"MIDFLORIDA Credit Union
3.7","Lakeland, FL",1001 to 5000 Employees,1954,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD)
Senior Data Analyst,$80K - $95K (Employer est.),"PLEASE APPLY DIRECTLY TO THE APPONBOARD/BUILDBOX SITE USING THE LINK BELOW
https://jobs.lever.co/apponboard/512e0088-8147-40a8-b116-7a5cbbf504ff
AppOnboard is looking for a Senior Data Analyst to help with analyzing a plethora of real-time data sets to extract meaningful product insights about software usage which includes, but is not limited to, retention, conversion funnels and NPS. You should have experience optimizing and writing efficient queries on large scale datasets (billions of rows) and be able to interpret data, analyze results to support internal teams from Product/Engineering to Marketing with data requests and needs. You will also have hands on with building and maintaining KPI reports and dashboards to help key stakeholders measure, optimize and understand the performance of the software and its users. You should also ensure timely and accurate data analysis in a fast-paced, start-up environment.",-1,AppOnboard/Buildbox,Remote,-1,-1,-1,-1,-1,-1
IT Systems Analyst - Data,$80K - $95K (Employer est.),"IT Systems Analyst - Data
Job Number: 182349

As an IT Systems Analyst you'll be part of the growing Commercial Lines group where our needs to make data driven decisions is growing. Do you thrive in an environment where you get to use a mix of tools to develop data stories that lead to decisions and change? If so, this position is for you! This includes creating and reporting on the health of our systems, offering insights and consultation to observed areas of opportunity and being a voice in our Lean journey.
Must have qualifications
Bachelor's Degree or higher in an Information Technology, or related discipline (e.g., Computer Science, Management Information Systems (MIS), Math, Information Systems) and a minimum of two years of related work experience designing, developing, programming and/or supporting IT Systems and applications.",3.9,"Progressive
3.9","Highland Heights, Cuyahoga, OH",10000+ Employees,1937,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$80K - $95K (Employer est.),"This position is eligible for a $500 Sign-On Bonus! See www.necu.org/careers for details.

Role:
Responsible for data conversion from core to architecture database. Liaison for system migration to ensure data accuracy. Focus on engaging with Lending stakeholders requiring data driven analytics or system changes – to understand specific objectives, identify and prioritize technical and functional requirements, coordinate with IT resources and provide the expected product output.
Adhere to and uphold Northeast Credit Union's Values and Service Standards.

Essential Functions & Responsibilities:",3.8,"Northeast Credit Union
3.8","Portsmouth, NH",201 to 500 Employees,1936,Nonprofit Organization,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
Data Analyst,$80K - $95K (Employer est.),"Req ID: 109045

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Data Analyst to join our team in Falls Church, Virginia (US-VA), United States (US).

General Duties and Tasks include:


Design and architecture of the data model and solutions built on it, then iterate with the business on the development of dynamic reporting applications.







:



INDPUBLIC



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Washington DC


Database, Consulting, SQL, Cloud, Computer Science, Technology",3.5,"NTT DATA
3.5","Falls Church, VA",1001 to 5000 Employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$80K - $95K (Employer est.),"Job Title: Data Analyst
Location: Remote
Must Have Skills/Experience:
Strong SQL and scripting skills
Ability to collect, organize, analyze data
Ability to handle Data Modeling discussions
Ability to create source to target mapping
Ability to perform Data Analysis on variety of data sources
Exposure to Data Vault methodology",-1,Intellibee Inc,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Position Summary:
The Data Analyst will be responsible for preparing analysis to support decisions within different areas of the firm and/or client firms. Conducting research, identifying trends and partnering with colleagues to match data from multiple resources to make recommendations. This may also include organizing special financial and business-related studies.
Principal Responsibilities:
Collecting, auditing, compiling and validating data from multiple sources, maintaining files and performing routine maintenance.
Interpret data, analyze results using statistical techniques or relational databases and produce ongoing as-needed reports to meet client and/or business needs (i.e. monthly experience reports).",4.4,"BRP Colleague
4.4","Tampa, FL",501 to 1000 Employees,-1,Company - Public,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"About Cataldo
Since 1977, Cataldo Ambulance Service, Inc. has continually distinguished itself as a leader in providing routine and emergency medical services. As the needs of the community and the patient change, we continue to introduce innovative programs to ensure the highest level of care is available to everyone in our service area. Cataldo is the largest private EMS provider in Massachusetts, boasting a diverse portfolio of municipal-based and facility-based contracts. In addition to topping 50,000 911 transports annually, specialty contracts include some of the top medical facilities in the state, Fenway Park, Warrior Arena, and the TD Garden.
Role Summary and Job Responsibilities
Serve as the project lead for designing, developing, implementing and deploying a data warehouse.",2.8,"Cataldo Ambulance
2.8","Somerville, MA",201 to 500 Employees,1977,Company - Private,Transportation Management,Transportation & Logistics,$50 to $100 million (USD)
"Junior Data Analyst - Redding, CA",$80K - $95K (Employer est.),"Job Opening: Junior Fuels Analyst
Responsible to: Data Analyst, Operations Department
Compensation: Hourly, Commensurate to Skills and Experience
Hours: 40 hours per week, Monday through Friday, 8am to 5pm
Location: Redding, CA or Orange County, CA
Benefits: Two weeks paid vacation. Eight paid holidays. Other benefits accrue over first 3-24 months of employment, including additional paid vacation, 401k, 401k matching, no-cost primary medical care membership or cash equivalent, and quarterly profit sharing.",-1,"Maas Energy Works, Inc","Redding, CA",1 to 50 Employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Data Analyst (Junior-Level),$80K - $95K (Employer est.),"JDSAT is an Operations Research and Data Sciences firm currently seeking an enthusiastic, self-driven Data Analyst to support the US Navy’s Bureau of Medicine and Surgery (BUMED) in developing data products, conducting exploratory analysis, writing algorithms, and developing data-related applications to support organizational decisions. We are seeking candidates who thrive in a challenging and dynamic work environment and who want their work to make real-world impacts.
The qualified candidate will be educated and experienced in a field related to data analytics, such as statistics, economics, computer science, operations research, data science, or similar. Candidate must be able to operate as part of a data science team and comfortable with data management, data engineering, statistics, data exploration, and data visualization. The Data Analyst will liaise with data owners, become an expert in relevant data systems, and manipulate and analyze complex data to produce decision-supporting results for Navy leaders. The ideal candidate will be a balanced candidate equally comfortable with technical work, working as part of a team, and interfacing with client personnel.",-1,JDSAT,"McLean, VA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst - Finance,$80K - $95K (Employer est.),"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
The Role
Jellysmack is seeking a highly motivated and organized Data Analyst to join our Strategic Finance team.
This individual will be part of a team of data analysts and data scientists and be the gatekeeper for the organization’s data so that stakeholders can understand the data and use it to make strategic business decisions.",4.4,"Jellysmack
4.4","New York, NY",501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
BI Analyst - Jacksonville FL,$80K - $95K (Employer est.),"*
Guidewell Emergency Doctor Clinics are free-standing outpatient facilities, providing easy access unscheduled care. Board Certified Emergency Medicine Physicians provide care to meet or exceed American College of Emergency Physicians Standards (Evidence-Based Clinical Guidelines) outside of the traditional hospital-based ER environment. The hyper-efficient delivery of Emergency Medicine Specialty Services combined with outpatient facility efficiently provides high quality care that can yield lower ER visits, lower hospital admissions and create savings.
The Business Intelligence Analyst at Crucial Care plays a critical role in powering the business with data through reporting, analytics, and data engineering. The position will be integral to advancing Crucial Care’s data platform and will be involved in nearly all facets of data life cycle management, including data collection, modeling, and curation. In this role you will also provide descriptive and diagnostic analytics, developing visualizations that describe what is happening in the business and why. Through your work, you will help shape the future of our business by providing stakeholders with actionable insights.",5.0,"Crucial Care l GuideWell Emergency Doctors
5.0","Jacksonville, FL",1 to 50 Employees,-1,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Sr. Data Analyst,$80K - $95K (Employer est.),"At World Fuel Services, our employees are the key to our global success.We are industry leaders due to the innumerable talents of our approximately 5000- strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.
When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.
World Fuel Services, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",3.0,"World Fuel Services
3.0","Miami, FL",1001 to 5000 Employees,1984,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Online Data Analyst - United States,$80K - $95K (Employer est.),"Company Info:
We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more.
Position Open:
The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.",3.8,"TELUS International AI Inc.
3.8","Austin, TX",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst - SQL and ETL Design,$80K - $95K (Employer est.),"Job Title: Data Analyst - SQL and ETL Design
Location: Menlo Park, CA
Duration: 1 Year

Responsibilities:
Collaborate with growth marketers, program managers, and our central analytics team to gather data and metrics requirements.
Design, build, and maintain automated reporting, dashboards, and ongoing analysis to enable data driven decisions across our team and with partner teams. (e.g. using Tableau, etc.)
Build and optimize ETL processes to run marketing campaigns at scale and automate the campaign reporting
Write high-quality SQL queries to retrieve and analyze data from database tables







IND123",4.5,"Ursus
4.5","Menlo Park, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Analyst I, Data Science",$80K - $95K (Employer est.),"Collaborate with business partners to develop predictive analytic solutions that enable data driven strategic decision making
Utilize data science techniques to manipulate large structured and unstructured data sets
Identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions
Gain industry knowledge, development of predictive analytics techniques, and obtaining experience in storytelling with data
Apply data science techniques
Gain confidence in skill application using analytics and data science techniques to manipulate large structured and unstructured data sets in order to generate insights to inform business decisions

Master's Degree
15",3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Research Analyst,$80K - $95K (Employer est.),"Company Description: OXLOS (www.OXLOS.com) is a fast growing and well capitalized startup focused on live business events, training and education, as well as digital media brands and assets targeted to entrepreneurs, business owners, investors, other business leaders, as well as those who aspire to be them.
Job Description: The job consists of doing overseeing and conducting research in our company, which includes market research, but also competitive, marketing, customer, product, and speaker research to help give us intelligible data to launch new and improve our existing brands, products and offerings.
For example, one of our fully developed business event brands, see: www.LIFESURGE.com
The work atmosphere is very entrepreneurial, results-driven, self-governed, relaxed, fun, and casual. If you’re looking for a long-term opportunity to do interesting work while being on the ground floor of a new disruptive organization, and growing with it, without the typical corporate bureaucracy and politics of large firms, then this opportunity may be the right opportunity for you.",-1,OXLOS,"Bradenton, FL",-1,-1,-1,-1,-1,-1
Research Associate I – III (Bioinformatician / NGS Data Analyst),$80K - $95K (Employer est.),"[RA2102] Research Associate I – III (Bioinformatician / NGS Data Analyst)
BS or MS level (Bioinformatician / Next-Gen Sequencing Data Analyst) sought to support product development, services and manufacturing for a rapidly growing biotechnology company.
Founded in 2012, EpiCypher® is Bringing Epigenetics to Life to help researchers find cures for some of the most challenging diseases. To this end we develop cutting edge / unique tools and services for epigenetics and chromatin biology research. This includes fully defined semi-synthetic nucleosomes; EpiDyne®* nucleosome remodeling substrates; the SNAP-ChIP®* platform that is revolutionizing Chromatin ImmunoPrecipitation (Shah et al (2018) Mol Cell [PMID: 30244833]); dCypher®* to dissect epigenetic regulators in their physiological context (Weinburg et al (2019) Nature [PMID: 31485078]); and CUTANA®* (Yusofova et al (2020) []) for genomic insight with increased sensitivity from reduced cell numbers and sequencing depth.",-1,EpiCypher,"Durham, NC",-1,-1,-1,-1,-1,-1
Supply Chain Data Analyst,$80K - $95K (Employer est.),"COMPANY OVERVIEW
For nearly 100 years, DuBois has delivered improved product quality and lower costs to customers in target industries. We combine advanced chemistry, equipment solutions, manufacturing process knowledge, and local technical service to create unsurpassed value.
We serve various industries including aerospace, automotive, heavy equipment, metal finishing and many more!
JOB SUMMARY
The Supply Chain Analyst will conduct data analysis to improve our supply chain operations - including sources of raw materials, manufacturing plants, distribution centers and customer orders, as well as the transportation and communications links between them. The main goal of the job is to help DuBois Chemicals increase efficiency and reduce costs, while exceeding customer expectations. In this role, the analyst should have an analytical mind and a strong business acumen. Problem-solving skills and attention to detail are essential.",2.9,"DuBois Chemicals
2.9","Cincinnati, OH",501 to 1000 Employees,1920,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD)
Enterprise Data - Business Intelligence Analyst,$80K - $95K (Employer est.),"Each of our clients is unique. They have their own workflows and very specific data needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling means our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply cannot operate. Making the right decisions for our customers and services with such varying and complex consumption is a challenge. Extracting intelligence from our datasets is key to our success and that is where you come in.



The Business Intelligence team drives new business and organic growth in the Enterprise Data department through providing actionable insights to key decision makers. Whether we are working on the design of products and commercial strategies or uncovering sales opportunities through data analysis, technology, collaboration and understanding of our customers is at the heart of everything we do.

We work closely with both regional and global teams across stakeholder groups such as Sales, CFO Office, Global & Regional Department Heads, Business and Product Development, Global Data, Operational Support and other verticals across the firm. In order to achieve our goals and deliver results we extensively leverage technology for data warehousing, analysis and visualization (Qliksense, IBM Cognos, Tableau, Excel PowerPivot, VBA, SQL, Python, R).







Apply if you think you are a good match and we will get in touch with you to let you know next steps.",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,$80K - $95K (Employer est.),"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1
Molecular NGS Data Analyst /Bioinformaics Analyst,$80K - $95K (Employer est.),"· Analysis high volume NGS genomic profiling data (Ion Torrent/Illumina) and microarray data.
· Develop, improve, modify, and operate data analysis pipelines using
· Work closely with Lab Director and Manager to generate analysis reports, project reports and perform requested custom analysis etc.
· Review NGS results for clinical cases using standard operating procedures
· Classify variants through literature review and available resources
· Summarize variant interpretations using concise language
· Troubleshoot and resolve issues related to data analysis.",-1,Diagnostic Informatics,"Pine Brook, NJ",-1,-1,-1,-1,-1,-1
Data Analyst,$80K - $95K (Employer est.),"Works with business partners from various functional areas to build, implement and maintain reporting solutions and performance metrics that support the business needs of operations and corporate teams. Supports enterprise adoption of common, consistent measurements and reporting tools to encourage data-driven decisions.

Responsibilities:
Designs and builds enterprise-wide reporting and data analysis tools with general input and oversight from business users. Ensures reporting is in a useable format to determine trends, issues, or problem areas requiring root cause analysis.
Works with project teams and functional leaders to determine business reporting needs and requirements, develop and maintain appropriate documentation, and conduct data analysis projects to identify opportunities for continuous improvement.
Utilizes reporting tools and software such as Power BI, Excel, SSRS, and various data sources to develop reports that are easily understood by end-users. Provides training and coaching on these tools as necessary.

#RuanCorp",3.4,"Ruan
3.4","Des Moines, IA",1001 to 5000 Employees,1932,Company - Private,Trucking,Transportation & Logistics,$500 million to $1 billion (USD)
DATA ANALYST II / SOFTWARE ENGINEER I,$80K - $95K (Employer est.),"Description
Sasaki Evolutionary Integration Services (SEIS) is an SBA 8(a), Service-Disabled Veteran-Owned Small Business (SDVOSB). We have been serving Government, Department of Defense, and Commercial customers since 2009. Our primary focus is Business Process Re-engineering, Decision Modeling and Reporting, Program Management, and Solution Designing.
Our mission is to help our customers and partners succeed by fostering strong relationships and demonstrating unwavering commitment. By continuously building upon our knowledge and experiences, we will provide top quality, value-added products and services for Project Management, Business Proposal Support, Systems Integration, Data Analysis, Quality Management, and Information Technology Infrastructure in a diverse environment.
We are seeking an experienced Data Analyst II / Software Engineer I to collaborate with our telecommunications customer’s sales and pricing teams to create pricing records for government entities within GSA’s system. This position will require collecting of data from multiple data sources, analyzing and manipulating the data to create a standard dataset, and then processing the requests through various systems. This position also requires automating processes and activities when possible.",-1,"Sasaki Evolutionary Integration Services (SEIS), LLC","Oakton, VA",-1,-1,-1,-1,-1,-1
Data Reporting Analyst,$80K - $95K (Employer est.),"Our Company
Come join an expanding, team-oriented rheumatology practice. Since 1998, the rheumatologists at Colorado Center for Arthritis and Osteoporosis have relieved the suffering and improved the quality of life of patients suffering from rheumatic conditions. We combine the latest advances in medical knowledge with a compassionate, collaborative, patient-centered approach.
Our Values
Our patients’ needs will be first
We will serve the needs of our referring physicians
We will treat all team members with respect",-1,Colorado Center for Arthritis and Osteoporosis,"Broomfield, CO",1 to 50 Employees,-1,Private Practice / Firm,-1,-1,$1 to $5 million (USD)
